,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Parkwoods,43.7611243,-79.3240594,Allwyn's Bakery,43.75984035203157,-79.32471879917513,Caribbean Restaurant
1,Parkwoods,43.7611243,-79.3240594,Tim Hortons,43.76066827030228,-79.32636763515987,Café
2,Parkwoods,43.7611243,-79.3240594,A&W,43.760643076161315,-79.3268649067081,Fast Food Restaurant
3,Parkwoods,43.7611243,-79.3240594,Shoppers Drug Mart,43.76085733239677,-79.32496051573521,Pharmacy
4,Parkwoods,43.7611243,-79.3240594,Food Basics,43.76054899113784,-79.32604520023006,Supermarket
5,Parkwoods,43.7611243,-79.3240594,Pizza Pizza,43.76023098701761,-79.32566642761229,Pizza Place
6,Parkwoods,43.7611243,-79.3240594,Parkwoods Coin Laundry,43.76038596280906,-79.32489395141602,Laundry Service
7,Parkwoods,43.7611243,-79.3240594,Dollarama,43.760341,-79.325519,Discount Store
8,Parkwoods,43.7611243,-79.3240594,La Notre,43.76070416249771,-79.32539551954271,Coffee Shop
9,Parkwoods,43.7611243,-79.3240594,Family Food Fair Convenience,43.760619989690674,-79.32445934492416,Convenience Store
10,Parkwoods,43.7611243,-79.3240594,Parkwoods Village Centre,43.760735,-79.324873,Shopping Mall
11,Parkwoods,43.7611243,-79.3240594,Spicy Chicken House,43.76063939666398,-79.32567060771729,Chinese Restaurant
12,Parkwoods,43.7611243,-79.3240594,Roywood Park,43.76349052631376,-79.32190182904223,Playground
13,Parkwoods,43.7611243,-79.3240594,Fenside Arena,43.76399660376494,-79.32666091832003,Skating Rink
14,Victoria Village,43.732658,-79.3111892,Jatujak,43.736207542145884,-79.30766830088342,Thai Restaurant
15,Victoria Village,43.732658,-79.3111892,Armenian Kitchen,43.73107096414275,-79.30539020048727,Middle Eastern Restaurant
16,Victoria Village,43.732658,-79.3111892,TTC Bus #24 Victoria Park Ave,43.73519712929972,-79.30697679519653,Bus Line
17,Victoria Village,43.732658,-79.3111892,Osmow's Authentic Mediterranean Restaurant,43.735943,-79.308014,Mediterranean Restaurant
18,Regent Park,43.6607056,-79.3604569,Regent Park Aquatic Centre,43.6606003130796,-79.36139162915349,Pool
19,Regent Park,43.6607056,-79.3604569,Daniels Spectrum,43.66013679276432,-79.36180783336452,Performing Arts Venue
20,Regent Park,43.6607056,-79.3604569,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
21,Regent Park,43.6607056,-79.3604569,Paintbox Bistro,43.660050475903624,-79.36285470971839,Restaurant
22,Regent Park,43.6607056,-79.3604569,Thai To Go,43.663418,-79.36071,Thai Restaurant
23,Regent Park,43.6607056,-79.3604569,Sukhothai,43.658444465539525,-79.36568085121628,Thai Restaurant
24,Regent Park,43.6607056,-79.3604569,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
25,Regent Park,43.6607056,-79.3604569,Qi sushi,43.66255180762697,-79.36425843422568,Sushi Restaurant
26,Regent Park,43.6607056,-79.3604569,Toronto Humane Society,43.65769802359708,-79.3565828808708,Animal Shelter
27,Regent Park,43.6607056,-79.3604569,Mercedes-Benz Downtown,43.66143119502613,-79.35658517368444,Auto Dealership
28,Regent Park,43.6607056,-79.3604569,I Love Churros,43.65836361668554,-79.36558277878224,Food Truck
29,Regent Park,43.6607056,-79.3604569,Regent Park,43.660382523982804,-79.36181011844143,Park
30,Regent Park,43.6607056,-79.3604569,Shoppers Drug Mart,43.660204,-79.361332,Pharmacy
31,Regent Park,43.6607056,-79.3604569,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
