,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Parkwoods,43.7611243,-79.32405940000001,Shoppers Drug Mart,43.76085733239677,-79.32496051573521,Pharmacy
1,Parkwoods,43.7611243,-79.32405940000001,Family Food Fair Convenience,43.760619989690674,-79.32445934492416,Convenience Store
2,Parkwoods,43.7611243,-79.32405940000001,Parkwoods Village Centre,43.760735,-79.324873,Shopping Mall
3,Regent Park,43.66070560000001,-79.3604569,Regent Park Aquatic Centre,43.6606003130796,-79.36139162915349,Pool
4,Regent Park,43.66070560000001,-79.3604569,Shoppers Drug Mart,43.660204,-79.361332,Pharmacy
5,Regent Park,43.66070560000001,-79.3604569,Wendy’s,43.660403362711776,-79.36062902212149,Fast Food Restaurant
6,Regent Park,43.66070560000001,-79.3604569,Le Beau,43.660773,-79.359381,Café
7, Harbourfront,43.640080100000006,-79.3801495,Harbourfront,43.639525632239106,-79.38068838052389,Neighborhood
8, Harbourfront,43.640080100000006,-79.3801495,BeaverTails,43.639736,-79.380068,Dessert Shop
9, Harbourfront,43.640080100000006,-79.3801495,Sharetea,43.640175967763966,-79.37960567018246,Bubble Tea Shop
10, Harbourfront,43.640080100000006,-79.3801495,Popeyes Louisiana Kitchen,43.639864,-79.381136,Fried Chicken Joint
11,Lawrence Manor,43.72207879999999,-79.4375067,ROBINSON'S FREESTYLE DESIGNS,43.72243591028199,-79.43718194961548,Art Gallery
12,Queen's Park,43.659659000000005,-79.39033990000001,Starbucks,43.65945605353152,-79.39041123272168,Coffee Shop
13,Queen's Park,43.659659000000005,-79.39033990000001,Flock Rotisserie + Greens,43.659167,-79.389475,Fried Chicken Joint
14,Queen's Park,43.659659000000005,-79.39033990000001,Starbucks,43.65952575859537,-79.39027029345037,Coffee Shop
15,Queen's Park,43.659659000000005,-79.39033990000001,RBC Royal Bank,43.65933603842843,-79.38977326176165,Bank
16,Queen's Park,43.659659000000005,-79.39033990000001,Subway,43.65897011920262,-79.3908742539673,Sandwich Place
17,Queen's Park,43.659659000000005,-79.39033990000001,Est West Cafe,43.65954133608129,-79.39063666861075,Salad Place
18,Queen's Park,43.659659000000005,-79.39033990000001,Aroma Espresso Bar,43.658927676749364,-79.38990298985978,Café
19,Queen's Park,43.659659000000005,-79.39033990000001,Tim Hortons,43.6594149,-79.3912214,Coffee Shop
20,Islington Avenue,43.6200875,-79.5127834,Gardiner Expy at Islington,43.62045022451549,-79.51316356658936,Intersection
21, Humber Valley Village,43.6664717,-79.5243136,Modern Solutions,43.66582273682821,-79.52402114868164,Home Service
22,Malvern,43.8091955,-79.2217008,Shoppers Drug Mart,43.80961,-79.222729,Pharmacy
23,Don Mills,43.775347,-79.3459439,Tim Hortons,43.7749925,-79.3463027,Coffee Shop
24,Don Mills,43.775347,-79.3459439,TTC Subway Line 4 - Sheppard Line,43.775668760467525,-79.34561133392964,Metro Station
25,Don Mills,43.775347,-79.3459439,Don Mills & Sheppard,43.77532334196787,-79.34699846901431,Intersection
26,Don Mills,43.775347,-79.3459439,Victoria's Secret PINK,43.775283,-79.346728,Lingerie Store
27,Garden District,43.6564995,-79.3771141,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997793,Ramen Restaurant
28,Garden District,43.6564995,-79.3771141,Kabul Express,43.65669146835466,-79.37664313658586,Middle Eastern Restaurant
29,Garden District,43.6564995,-79.3771141,Lake Devo,43.6569936860937,-79.37689788366988,Lake
30,Garden District,43.6564995,-79.3771141,Ethiopiques,43.65651274304155,-79.377077748846,Ethiopian Restaurant
