,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Parkwoods,43.7611243,-79.32405940000002,Allwyn's Bakery,43.75984035203157,-79.32471879917513,Caribbean Restaurant
1,Parkwoods,43.7611243,-79.32405940000002,Tim Hortons,43.76066827030228,-79.32636763515987,Café
2,Parkwoods,43.7611243,-79.32405940000002,A&W,43.760643076161315,-79.3268649067081,Fast Food Restaurant
3,Parkwoods,43.7611243,-79.32405940000002,LCBO,43.75777384662435,-79.31425673330513,Liquor Store
4,Parkwoods,43.7611243,-79.32405940000002,Dollarama,43.758135,-79.310672,Discount Store
5,Parkwoods,43.7611243,-79.32405940000002,Fat Bastard Burrito Co,43.77414615272252,-79.3222757269027,Burrito Place
6,Parkwoods,43.7611243,-79.32405940000002,Shoppers Drug Mart,43.76085733239677,-79.32496051573521,Pharmacy
7,Parkwoods,43.7611243,-79.32405940000002,Lara's Restaurant,43.77275131307785,-79.33281161231807,Middle Eastern Restaurant
8,Parkwoods,43.7611243,-79.32405940000002,Tim Hortons,43.77156824953461,-79.32039215232635,Coffee Shop
9,Parkwoods,43.7611243,-79.32405940000002,Omni Palace Noodle House,43.771047,-79.33157,Chinese Restaurant
10,Parkwoods,43.7611243,-79.32405940000002,Starbucks,43.773219,-79.321634,Coffee Shop
11,Parkwoods,43.7611243,-79.32405940000002,Aroma Espresso Bar,43.77088,-79.331775,Coffee Shop
12,Parkwoods,43.7611243,-79.32405940000002,Food Basics,43.76054899113784,-79.32604520023006,Supermarket
13,Parkwoods,43.7611243,-79.32405940000002,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
14,Parkwoods,43.7611243,-79.32405940000002,Staples,43.7583791,-79.3106954,Paper / Office Supplies Store
15,Parkwoods,43.7611243,-79.32405940000002,Athens Pastries,43.77391055417276,-79.32228407811631,Bakery
16,Parkwoods,43.7611243,-79.32405940000002,Noodle Delight,43.77239870424429,-79.3202087535388,Chinese Restaurant
17,Parkwoods,43.7611243,-79.32405940000002,My Place Fish & Chips,43.77418906091909,-79.32247627212145,Seafood Restaurant
18,Parkwoods,43.7611243,-79.32405940000002,Tim Hortons,43.75281395751706,-79.3140672147274,Coffee Shop
19,Parkwoods,43.7611243,-79.32405940000002,Wendy’s,43.77189902333657,-79.3206020398884,Fast Food Restaurant
20,Parkwoods,43.7611243,-79.32405940000002,Pizza Pizza,43.76023098701761,-79.32566642761229,Pizza Place
21,Parkwoods,43.7611243,-79.32405940000002,The Beer Store,43.7582748,-79.3137052,Beer Store
22,Parkwoods,43.7611243,-79.32405940000002,Wishing Well Park,43.76952882397673,-79.31648254394531,Park
23,Parkwoods,43.7611243,-79.32405940000002,Edward Village,43.77073743663521,-79.33626651763916,Hotel
24,Parkwoods,43.7611243,-79.32405940000002,Tim Hortons,43.75829469411578,-79.31230985443108,Coffee Shop
25,Parkwoods,43.7611243,-79.32405940000002,Subway,43.758072972398836,-79.31223512364829,Sandwich Place
26,Parkwoods,43.7611243,-79.32405940000002,Petro-Canada,43.763238,-79.318133,Gas Station
27,Parkwoods,43.7611243,-79.32405940000002,China Cottage,43.759097495523434,-79.3104188485618,Hakka Restaurant
28,Parkwoods,43.7611243,-79.32405940000002,Beiruti Grand Cafe,43.773001568417364,-79.33253288902613,Middle Eastern Restaurant
29,Parkwoods,43.7611243,-79.32405940000002,Esquire Restaurant,43.77439095022272,-79.32266690928869,Greek Restaurant
30,Parkwoods,43.7611243,-79.32405940000002,Shoppers Drug Mart,43.75744,-79.312548,Pharmacy
31,Parkwoods,43.7611243,-79.32405940000002,Petro-Canada,43.75795,-79.315187,Gas Station
32,Parkwoods,43.7611243,-79.32405940000002,Second Cup,43.757482276690645,-79.31169510099224,Coffee Shop
33,Parkwoods,43.7611243,-79.32405940000002,TD Canada Trust,43.77349473581211,-79.32202776305725,Bank
34,Parkwoods,43.7611243,-79.32405940000002,Swiss Chalet,43.77346117679879,-79.3218230293486,Restaurant
35,Parkwoods,43.7611243,-79.32405940000002,Wild Wing,43.75619568821282,-79.31451382469172,Wings Joint
